----------------- tinyLlama ------ DatasetType.END_OF_LINES ----------------
cuda available.
----------------- tinyLlama ------ DatasetType.END_OF_LINES ----------------
cuda available.
EPOCH 2 started==============================
sum loss 9943.3671875
sum loss 8228.9560546875
sum loss 8019.8125
sum loss 7872.484375
sum loss 7762.38037109375
sum loss 7684.1533203125
sum loss 7691.05322265625
sum loss 7649.93603515625
sum loss 7715.35791015625
sum loss 7694.083984375
sum loss 7688.36083984375
sum loss 7711.34716796875
sum loss 7722.859375
sum loss 7703.43701171875
sum loss 7698.72607421875
sum loss 7720.81982421875
sum loss 7717.82373046875
sum loss 7737.4716796875
sum loss 7710.29736328125
sum loss 7685.42138671875
sum loss 7662.21484375
sum loss 7638.3017578125
sum loss 7739.990234375
sum loss 7671.8544921875
EPOCH 3 started==============================
sum loss 7588.8056640625
sum loss 7650.18994140625
sum loss 7564.728515625
sum loss 7551.564453125
sum loss 7564.3134765625
sum loss 7557.25390625
sum loss 7560.99267578125
sum loss 7554.853515625
sum loss 7599.638671875
sum loss 7538.99267578125
sum loss 7601.388671875
sum loss 7579.099609375
sum loss 7560.96630859375
sum loss 7603.25537109375
sum loss 7549.53564453125
sum loss 7549.162109375
sum loss 7553.076171875
sum loss 7596.904296875
sum loss 7557.2451171875
sum loss 7595.2783203125
sum loss 7523.23388671875
sum loss 7587.94091796875
sum loss 7532.634765625
sum loss 7553.6708984375
EPOCH 4 started==============================
sum loss 7568.41357421875
sum loss 7576.435546875
sum loss 7607.13916015625
sum loss 7570.44677734375
sum loss 7585.70361328125
sum loss 7569.73095703125
sum loss 7544.6982421875
sum loss 7571.876953125
sum loss 7593.36865234375
sum loss 7589.52392578125
sum loss 7578.1689453125
sum loss 7593.2509765625
sum loss 7570.13427734375
sum loss 7561.04443359375
sum loss 7574.46044921875
sum loss 7543.46630859375
sum loss 7571.73681640625
sum loss 7569.619140625
sum loss 7555.16796875
sum loss 7542.16162109375
sum loss 7588.83203125
sum loss 7565.30224609375
sum loss 7546.59130859375
sum loss 7541.65966796875
----------------- tinyLlama ------ DatasetType.END_OF_LINES ----------------
cuda available.
EPOCH 3 started==============================
sum loss 7402.982421875
sum loss 7261.36328125
sum loss 7232.685546875
sum loss 7331.34814453125
sum loss 7388.70458984375
sum loss 7345.841796875
sum loss 7387.27783203125
sum loss 7313.75
sum loss 7390.3310546875
sum loss 7393.54248046875
sum loss 7403.14306640625
sum loss 7340.15869140625
sum loss 7388.6982421875
sum loss 7339.69775390625
sum loss 7358.1591796875
sum loss 7373.00244140625
sum loss 7351.32666015625
sum loss 7332.84619140625
sum loss 7399.943359375
sum loss 7353.435546875
sum loss 7341.9697265625
sum loss 7350.60693359375
sum loss 7328.9296875
sum loss 7354.9306640625
EPOCH 4 started==============================
sum loss 7229.3583984375
sum loss 7201.1884765625
sum loss 7184.59423828125
sum loss 7225.51953125
sum loss 7182.9248046875
sum loss 7201.58349609375
sum loss 7178.599609375
sum loss 7235.142578125
sum loss 7173.806640625
sum loss 7251.390625
sum loss 7170.4638671875
sum loss 7197.3779296875
sum loss 7248.8037109375
sum loss 7177.54150390625
sum loss 7206.87060546875
sum loss 7216.23779296875
sum loss 7195.80322265625
sum loss 7220.345703125
sum loss 7223.02880859375
sum loss 7245.1103515625
sum loss 7178.88427734375
sum loss 7157.95947265625
sum loss 7221.0888671875
sum loss 7224.59423828125
